,,,,,,,,,,,,,,,
Normais Climatológicas do Brasil 1961-1990,,,,,,,,,,,,,,,
Número de Dias com Precipitação Maior ou Igual a 1 mm (dias),,,,,,,,,,,,,,,
Código,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
82704,Cruzeiro do Sul,AC,19,18,18,15,12,8,6,7,10,13,15,17,158
82915,Rio Branco,AC,20,18,18,14,8,4,3,4,7,12,15,17,140
82807,Tarauacá,AC,20,18,19,15,11,7,6,7,10,13,15,18,159
83098,Coruripe,AL,4,6,14,13,16,17,16,13,9,5,3,4,120
82994,Maceió,AL,10,11,17,19,22,24,23,19,15,10,6,9,185
82988,Mata Grande,AL,4,4,8,10,15,19,18,13,6,3,2,4,106
82992,Palmeira dos Índios,AL,2,3,8,12,14,20,19,11,8,3,2,4,106
82113,Barcelos,AM,14,13,15,18,21,18,16,12,12,11,11,13,174
82410,Benjamin Constant,AM,19,15,16,16,15,11,10,10,11,14,14,17,168
82418,Carauari,AM,20,16,19,19,16,13,11,10,13,14,15,18,184
82425,Coari,AM,17,15,16,16,16,10,9,8,9,11,12,14,153
82326,Codajás,AM,20,19,21,20,18,11,11,8,12,16,12,21,189
82610,Eirunepé,AM,17,17,16,14,11,9,7,6,10,12,15,15,149
82212,Fonte Boa,AM,17,14,16,18,19,18,15,13,12,13,14,15,184
82727,Humaitá,AM,17,17,20,17,14,6,2,6,8,12,13,16,148
82067,Iauaretê,AM,15,12,16,18,20,19,20,17,15,14,13,15,194
82336,Itacoatiara,AM,17,18,18,18,16,15,11,7,7,8,8,13,156
82723,Lábrea,AM,19,18,19,18,15,8,6,7,10,12,15,19,166
82331,Manaus,AM,19,18,20,18,17,11,8,6,6,9,12,16,160
82533,Manicoré,AM,21,20,19,20,17,10,7,8,11,14,14,18,179
82100,Paricachoeira,AM,17,15,19,18,22,22,23,20,16,15,15,17,219
82240,Parintins,AM,17,18,19,18,19,18,13,9,6,6,6,12,161
82105,Rio Içana,AM,16,13,17,18,22,22,21,18,17,15,15,15,209
82106,S. G. da Cachoeira (Uaupés),AM,19,16,16,17,20,21,19,17,14,14,14,17,204
82108,Santa Izabel do Rio Negro,AM,18,13,16,18,20,19,18,14,13,12,12,13,186
82103,Taracuá,AM,20,17,20,19,23,22,22,19,18,15,17,18,230
82317,Tefé,AM,19,18,18,18,18,15,11,11,13,13,12,16,182
82098,Macapá,AP,20,19,22,21,22,18,16,10,5,3,4,9,169
82095,Porto Platon,AP,22,19,22,23,24,21,19,13,9,7,7,12,198
83249,Alagoinhas,BA,8,10,11,12,16,17,16,12,8,7,8,7,132
83236,Barreiras,BA,12,11,11,9,3,1,0,0,2,8,12,12,81
83288,Bom Jesus da Lapa,BA,11,9,7,6,2,0,-,0,2,7,11,10,-
83339,Caetité,BA,10,8,6,7,2,3,4,2,2,6,12,12,74
83498,Caravelas,BA,9,8,10,12,12,12,13,8,10,11,11,11,127
83192,Cipó,BA,5,7,9,9,11,14,12,10,6,3,5,5,96
83348,Ilhéus,BA,15,15,17,15,14,16,18,16,13,13,14,13,179
83244,Itaberaba,BA,9,9,10,8,7,9,8,6,5,4,7,8,90
83295,Itiruçu (Jaguaquara),BA,11,9,10,11,11,13,14,9,7,7,8,8,118
83186,Jacobina,BA,9,8,10,10,9,9,10,7,5,5,6,7,95
83242,Lençóis,BA,10,11,12,11,9,11,10,6,6,8,11,12,117
83090,Monte Santo,BA,5,7,7,9,10,11,11,8,4,3,4,5,84
