,,,,,,,,,,,,,,,
Normais Climatológicas do Brasil 1961-1990,,,,,,,,,,,,,,,
Temperatura Mínima (°C),,,,,,,,,,,,,,,
Código,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
82704,Cruzeiro do Sul,AC,20.2,20.0,19.9,19.6,19.0,17.7,16.9,17.6,18.5,19.3,19.7,19.8,19.0
82915,Rio Branco,AC,21.3,21.2,21.2,20.8,19.4,17.6,16.5,17.4,19.1,20.6,21.2,21.3,19.8
82807,Tarauacá,AC,21.9,21.5,21.8,21.6,21.0,19.0,18.8,19.4,20.1,21.1,21.8,22.0,20.8
83098,Coruripe,AL,22.0,21.9,21.8,21.6,21.4,21.1,20.0,19.7,20.0,20.7,20.9,21.6,21.1
82994,Maceió,AL,22.4,22.6,22.7,22.5,22.0,21.3,20.5,20.2,20.7,21.2,21.6,22.0,21.6
82988,Mata Grande,AL,18.2,18.4,18.5,18.2,17.6,16.8,16.3,16.3,16.8,17.3,18.2,18.4,17.6
82992,Palmeira dos Índios,AL,21.3,21.4,21.3,20.9,20.2,19.1,18.4,18.2,-,19.7,-,21.3,-
82113,Barcelos,AM,22.2,22.1,22.2,22.0,21.8,21.8,21.5,21.5,21.4,21.6,22.1,22.0,21.9
82410,Benjamin Constant,AM,20.9,20.9,20.9,21.2,21.0,20.6,20.2,20.6,20.9,21.0,21.0,21.0,20.9
82418,Carauari,AM,20.7,20.8,21.0,21.1,21.0,20.1,19.5,19.9,20.3,20.8,20.4,20.6,20.5
82425,Coari,AM,20.4,20.3,21.0,20.9,21.2,20.8,20.6,20.7,21.2,21.3,21.2,20.8,20.9
82326,Codajás,AM,21.8,21.8,21.9,21.7,21.7,21.2,20.4,20.4,21.2,21.7,21.8,21.7,21.4
82212,Fonte Boa,AM,22.4,22.4,22.5,22.5,22.4,21.9,21.5,21.6,21.8,22.3,22.5,22.5,22.2
82067,Iauaretê,AM,21.9,22.0,22.0,22.2,22.0,21.7,21.4,21.5,21.6,21.9,22.0,22.0,21.9
82336,Itacoatiara,AM,22.0,22.0,22.3,22.1,22.1,22.1,21.8,21.9,22.1,22.2,22.4,22.2,22.1
82723,Lábrea,AM,20.8,20.7,21.0,21.0,20.5,19.7,19.0,19.3,20.2,20.6,20.7,20.3,20.3
82331,Manaus,AM,23.1,23.1,23.2,23.3,23.3,23.0,22.7,23.0,23.5,23.7,23.7,23.5,23.3
82533,Manicoré,AM,22.0,22.0,22.3,22.4,22.3,21.4,21.2,21.5,22.0,22.3,22.5,22.3,22.0
82100,Paricachoeira,AM,20.7,20.7,20.9,21.1,21.0,20.6,20.1,20.3,20.4,20.7,21.1,20.8,20.7
82240,Parintins,AM,23.9,-,24.0,24.1,24.3,24.0,23.8,24.3,24.7,24.7,-,24.2,-
82105,Rio Içana,AM,22.1,22.3,22.2,22.2,22.1,22.1,21.6,21.8,22.0,22.2,22.3,22.3,22.1
82106,S. G. da Cachoeira (Uaupés),AM,22.5,22.6,22.6,22.6,22.4,21.9,21.6,21.7,22.0,22.4,22.6,22.5,22.3
82108,Santa Izabel do Rio Negro,AM,21.9,22.0,22.0,22.0,21.9,21.6,21.2,21.3,21.4,21.7,22.0,21.8,21.7
82103,Taracuá,AM,22.1,22.3,22.3,22.3,22.2,21.9,21.6,21.7,21.7,22.0,22.2,22.2,22.0
82317,Tefé,AM,22.8,22.9,22.9,22.9,22.9,22.3,21.9,22.3,22.5,22.5,22.9,22.7,22.6
82093,Cupixi,AP,-,21.8,22.1,22.4,22.1,21.6,20.9,20.8,20.5,20.6,20.7,-,-
82098,Macapá,AP,23.0,23.1,23.2,23.5,23.5,23.2,22.9,23.3,23.4,23.5,23.5,23.4,23.3
